Category,Program,Condition Code,Condition Name,Profiles,Profile Has Special Case,MMGs,Special Case Group,Special Case MMGs
Vaccine Preventable Diseases,NCIRD,10030,Varicella (Chickenpox),Var_Case_Map_v1.0|Var_Case_Map_v2.0|Varicella_MMG_V3.0,No|No|No,varicellacasenationalnotificationmap_v1_0|varicella_message_mapping_guide_v2_01|varicella,,
Vaccine Preventable Diseases,NCIRD,10040,Diphtheria,,No,,,
Vaccine Preventable Diseases,NCIRD,10140,Measles (rubeola),Measles_MMG_V1.0,No,measles,,
Vaccine Preventable Diseases,NCIRD,10180,Mumps,Mumps_MMG_V1.0,No,mumps,,
Vaccine Preventable Diseases,NCIRD,10190,Pertussis,Pertussis_MMG_V1.0,No,pertussis,,
Vaccine Preventable Diseases,NCIRD,10200,Rubella,Rubella_MMG_V1.0,No,rubella,,
Vaccine Preventable Diseases,NCIRD,10210,Tetanus,,No,,,
Vaccine Preventable Diseases,NCIRD,10370,"Rubella, congenital syndrome",CRS_MMG_V1.0,No,congenital_rubella_syndrome,,
Vaccine Preventable Diseases,NCIRD,10405,"Poliovirus infection, nonparalytic ",,No,,,
Vaccine Preventable Diseases,NCIRD,10410,"Poliomyelitis, paralytic",,No,,,
Coronavirus,NCIRD,10575,Severe Acute Respiratory Syndrome (SARS)-associated Coronavirus disease (SARS-CoV),,No,,,
Influenza,NCIRD,11061,Influenza-associated pediatric mortality,,No,,,
Influenza,NCIRD,11062,"Novel influenza A virus infections, initial detections of",,No,,,
Coronavirus,NCIRD,11065,Coronavirus Disease 2019 (COVID-19)  ,COVID19_MMG_V1.0|COVID19_MMG_V1.1|COVID19_MMG_V1.2,No|No|No,covid_19|covid_19_v1_1|covid_19_v1_2,,
Coronavirus,NCIRD,11066,Multisystem Inflammatory Syndrome (MIS) associated with Coronavirus Disease 2019 (COVID-19),,No,,,
Neurological,NCIRD,11120,Acute flaccid myelitis,,No,,,
RSV-associated death,NCIRD,11646,Respiratory Syncytial Virus-Associated Deaths,,No,,,
Streptococcal toxic shock syndrome,NCIRD,11700,Streptococcal toxic shock syndrome,,No,,,
